HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
010111,Live pure bred breeding horses,0015,"Horses, asses, mules and hinnies, live"
010119,"Live horses, other than for pure-bred breeding",0015,"Horses, asses, mules and hinnies, live"
010120,Live asses mules and hinnies,0015,"Horses, asses, mules and hinnies, live"
010210,Live pure-bred breeding bovine animals,00111,"Bovine species pure bred,for breeding"
010290,"Live bovine animals, other than pure-bred breed",00119,Bovine species other than pure bred breeding stock
010310,Live pure-bred breeding swine,0013,"Swine, live"
010391,Live swine weighing <50kg (excl. pure-bred bree,0013,"Swine, live"
010392,Live swine weighing >=50kg (excl. pure-bred bre,0013,"Swine, live"
010410,Live sheep,00121,"Sheep, live"
010420,Live goats,00122,"Goats, live"
010511,"Live fowls of species Gallus domesticus, weighi",00141,"Poultry,live of a weight not exceeding 185 grammes"
010519,"Live ducks, geese, turkeys and guinea fowls, we",00141,"Poultry,live of a weight not exceeding 185 grammes"
010591,Live fowls of species Gallus domesticus (chicke,00149,"Poultry,live of a weight exceeding 185 grammes"
010599,"Live ducks, geese, turkeys and guinea fowls, we",00149,"Poultry,live of a weight exceeding 185 grammes"
010600,"Other live animals, nes",9410,"Animals,live,n.e.s.,incl. zoo-animals"
020110,Fresh or chilled bovine carcasses and half carc,01111,Meat of bovine animals with bone in
020120,Fresh or chilled unboned bovine meat (excl. car,01111,Meat of bovine animals with bone in
020130,Fresh or chilled boneless bovine meat,01112,Meat of bovine animals boneless
020210,Frozen bovine carcasses and half carcasses,01111,Meat of bovine animals with bone in
020220,Frozen unboned bovine meat (excl. carcasses),01111,Meat of bovine animals with bone in
020230,Frozen boneless bovine meat,01112,Meat of bovine animals boneless
020311,Fresh or chilled swine carcasses and half carca,0113,"Meat of swine, fresh, chilled or frozen"
020312,"Fresh or chilled unboned hams, shoulders and cu",0113,"Meat of swine, fresh, chilled or frozen"
020319,"Fresh or chilled swine meat, nes (unboned)",0113,"Meat of swine, fresh, chilled or frozen"
020321,Frozen swine carcasses and half carcasses,0113,"Meat of swine, fresh, chilled or frozen"
020322,"Frozen unboned hams, shoulders and cuts thereof",0113,"Meat of swine, fresh, chilled or frozen"
020329,"Frozen swine meat, nes",0113,"Meat of swine, fresh, chilled or frozen"
020410,Fresh or chilled lamb carcasses and half carcas,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020421,Fresh or chilled sheep carcasses and half carca,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020422,Fresh or chilled unboned meat of sheep,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020423,Fresh or chilled boneless meat of sheep,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020430,Frozen lamb carcasses and half carcasses,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020441,Frozen sheep carcasses and half carcasses (excl,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020442,Frozen unboned meat of sheep,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020443,Frozen boned meat of sheep,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020450,"Fresh, chilled or frozen goat meat",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh,",0115,"Meat of horses,asses,etc.,fresh,chilled,frozen"
020610,Fresh or chilled edible bovine offal,0116,Edible offals of animals in headings 001.1-001.5
020621,Frozen bovine tongues,0116,Edible offals of animals in headings 001.1-001.5
020622,Frozen bovine livers,0116,Edible offals of animals in headings 001.1-001.5
020629,Frozen edible bovine offal (excl. tongues and l,0116,Edible offals of animals in headings 001.1-001.5
020630,Fresh or chilled edible swine offal,0116,Edible offals of animals in headings 001.1-001.5
020641,Frozen swine livers,0116,Edible offals of animals in headings 001.1-001.5
020649,Frozen edible swine offal (excl. livers),0116,Edible offals of animals in headings 001.1-001.5
020680,"Fresh or chilled edible offal of sheep, goats,",0116,Edible offals of animals in headings 001.1-001.5
020690,"Frozen edible offal of sheep, goats, horses...",0116,Edible offals of animals in headings 001.1-001.5
020710,Fresh or chilled whole poultry,0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020721,Frozen whole chickens,0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020722,Frozen whole turkeys,0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020723,"Frozen whole ducks, geese and guinea fowls",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020731,Fresh or chilled fatty livers of geese or ducks,01181,"Poultry liver,fresh,chilled,frozen,salted/in brine"
020739,Fresh or chilled poultry cuts and offal (excl.,0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020741,Frozen cuts and offal of chicken (excl. livers),0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020742,Frozen cuts and offal of turkey (excl. livers),0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020743,"Frozen cuts and offal of geese, ducks and guine",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020750,Frozen poultry livers,01181,"Poultry liver,fresh,chilled,frozen,salted/in brine"
020810,"Fresh, chilled or frozen meat and edible offal",01189,"Meat & edible offals,fresh,chilled or frozen"
020820,"Fresh, chilled or frozen frogs' legs",01189,"Meat & edible offals,fresh,chilled or frozen"
020890,"Fresh, chilled or frozen meat and edible offal,",01189,"Meat & edible offals,fresh,chilled or frozen"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",41131,"Pig fat free of lean meat and poultry fat,"
021011,"Unboned swine hams, shoulders and cuts thereof,",0121,"Bacon,ham & other dried,salted,smoked meat/ swine"
021012,"Bellies and cuts thereof of swine, salted... or",0121,"Bacon,ham & other dried,salted,smoked meat/ swine"
021019,"Meat of swine, salted... or smoked, nes",0121,"Bacon,ham & other dried,salted,smoked meat/ swine"
021020,"Meat of bovine animals, salted... or smoked",0129,"Meat & edib.offals,n.e.s.salt.in brine dried/smok."
021090,"Other meat, nes, salted... or smoked; flours an",0149,Other prepared or preserved meat or meat offals
030110,Live ornamental fish,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030191,Live trout,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030192,Live eels,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030193,Live carp,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030199,Other live fish,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
