HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
010111,Live pure bred breeding horses,00151,Horses
010119,"Live horses, other than for pure-bred breeding",00151,Horses
010120,Live asses mules and hinnies,00152,"Asses/mules/hinnies,live"
010210,Live pure-bred breeding bovine animals,00111,"Bovine animals, breeding"
010290,"Live bovine animals, other than pure-bred breed",00119,"Bovine animals, other"
010310,Live pure-bred breeding swine,00131,"Swine, live for breeding"
010391,Live swine weighing <50kg (excl. pure-bred bree,00139,"Swine, live, other"
010392,Live swine weighing >=50kg (excl. pure-bred bre,00139,"Swine, live, other"
010410,Live sheep,00121,"Sheep,live"
010420,Live goats,00122,"Goats,live"
010511,"Live fowls of species Gallus domesticus, weighi",00141,"Poultry,live,max 185 gm"
010519,"Live ducks, geese, turkeys and guinea fowls, we",00141,"Poultry,live,max 185 gm"
010591,Live fowls of species Gallus domesticus (chicke,00149,"Poultry live,over 185 gm"
010599,"Live ducks, geese, turkeys and guinea fowls, we",00149,"Poultry live,over 185 gm"
010600,"Other live animals, nes",0019,Live animals n.e.s.
020110,Fresh or chilled bovine carcasses and half carc,01111,"Beef fresh/chld,bone in"
020120,Fresh or chilled unboned bovine meat (excl. car,01111,"Beef fresh/chld,bone in"
020130,Fresh or chilled boneless bovine meat,01112,Beef fresh/chld boneless
020210,Frozen bovine carcasses and half carcasses,01121,"Beef, frozen, bone in"
020220,Frozen unboned bovine meat (excl. carcasses),01121,"Beef, frozen, bone in"
020230,Frozen boneless bovine meat,01122,"Beef, frozen, boneless"
020311,Fresh or chilled swine carcasses and half carca,01221,Pork fresh/chilled
020312,"Fresh or chilled unboned hams, shoulders and cu",01221,Pork fresh/chilled
020319,"Fresh or chilled swine meat, nes (unboned)",01221,Pork fresh/chilled
020321,Frozen swine carcasses and half carcasses,01222,Pork frozen
020322,"Frozen unboned hams, shoulders and cuts thereof",01222,Pork frozen
020329,"Frozen swine meat, nes",01222,Pork frozen
020410,Fresh or chilled lamb carcasses and half carcas,01211,Mutton fresh/chilled
020421,Fresh or chilled sheep carcasses and half carca,01211,Mutton fresh/chilled
020422,Fresh or chilled unboned meat of sheep,01211,Mutton fresh/chilled
020423,Fresh or chilled boneless meat of sheep,01211,Mutton fresh/chilled
020430,Frozen lamb carcasses and half carcasses,01212,Mutton frozen
020441,Frozen sheep carcasses and half carcasses (excl,01212,Mutton frozen
020442,Frozen unboned meat of sheep,01212,Mutton frozen
020443,Frozen boned meat of sheep,01212,Mutton frozen
020450,"Fresh, chilled or frozen goat meat",01213,"Goat meat,fresh/chld/frz"
