code,desc
1111A0 ,Oilseed farming                                                                                                              
1111B0 ,Grain farming                                                                                                                
111200,Vegetable and melon farming                                                                                                  
1113A0 ,Fruit farming                                                                                                                
111335,Tree nut farming                                                                                                             
111400,"Greenhouse, nursery, and floriculture production"
111910,Tobacco farming                                                                                                   
111920,Cotton farming
1119A0 ,Sugarcane and sugar beet farming                                                                                             
1119B0 ,All other crop farming                                                                                                       
1121A0 ,Cattle ranching and farming                                                                                                  
112120,Dairy cattle and milk production                                                                                                              
112A00 ,"Animal production, except cattle and poultry and eggs                                                                        "
112300,Poultry and egg production                                                                                                   
113A00 ,"Forest nurseries, forest products, and timber tracts                                                                         "
113300,Logging                                                                                                                      
114100,Fishing                                                                                                                      
114200,Hunting and trapping                                                                                                         
115000,Support activities for agriculture and forestry
211000,Oil and gas extraction                                                                                                       
212100,Coal mining                                                                                                                  
212210,Iron ore mining                                                                                                              
2122A0 ,"Gold, silver, and other metal ore mining                                                                                     "
212230,"Copper, nickel, lead, and zinc mining                                                                                        "
212310,Stone mining and quarrying                                                                                                   
212320,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
212390,Other nonmetallic mineral mining and quarrying
213111,Drilling oil and gas wells                                                                                                   
213112,Support activities for oil and gas operations                                                                                
21311A ,Support activities for other mining                                                                                          
221100,"Electric power generation, transmission, and distribution"
221200,Natural gas distribution                                                                                                     
221300,"Water, sewage and other systems                                                                                              "
230101,Nonresidential commercial and health care structures
230102,Nonresidential manufacturing structures
230103,Other nonresidential structures                                                                                              
230201,Residential permanent site single- and multi-family structures                                                               
230202,Other residential structures
230301,Nonresidential maintenance and repair
230302,Residential maintenance and repair
311111,Dog and cat food manufacturing                                                                                               
311119,Other animal food manufacturing                                                                                              
311210,Flour milling and malt manufacturing                                                                                         
311221,Wet corn milling                                                                                                             
31122A ,Soybean and other oilseed processing                                                                                         
311225,Fats and oils refining and blending                                                                                          
311230,Breakfast cereal manufacturing                                                                                               
31131A ,Sugar cane mills and refining                                                                                                
311313,Beet sugar manufacturing                                                                                                     
311320,Chocolate and confectionery manufacturing from cacao beans
311330,Confectionery manufacturing from purchased chocolate                                                                         
311340,Nonchocolate confectionery manufacturing                                                                                     
311410,Frozen food manufacturing                                                                                                    
311420,"Fruit and vegetable canning, pickling, and drying                                                                             "
31151A ,Fluid milk and butter manufacturing                                                                                          
311513,Cheese manufacturing                                                                                                         
311514,"Dry, condensed, and evaporated dairy product manufacturing"
311520,Ice cream and frozen dessert manufacturing                                                                                   
31161A ,"Animal (except poultry) slaughtering, rendering, and processing"
311615,Poultry processing                                                                                                           
311700,Seafood product preparation and packaging                                                                                    
311810,Bread and bakery product manufacturing                                                                                       
311820,"Cookie, cracker, and pasta manufacturing                                                                                      "
311830,Tortilla manufacturing                                                                                                       
311910,Snack food manufacturing                                                                                                     
311920,Coffee and tea manufacturing                                                                                                 
311930,Flavoring syrup and concentrate manufacturing                                                                                
311940,Seasoning and dressing manufacturing                                                                                         
311990,All other food manufacturing                                                                                                 
312110,Soft drink and ice manufacturing                                                                                             
312120,Breweries                                                                                                                    
312130,Wineries                                                                                                                     
312140,Distilleries                                                                                                                 
3122A0 ,Tobacco product manufacturing                                                                                                
313100,"Fiber, yarn, and thread mills                                                                                                "
313210,Broadwoven fabric mills                                                                                                      
313220,Narrow fabric mills and schiffli machine embroidery
313230,Nonwoven fabric mills                                                                                                        
313240,Knit fabric mills                                                                                                            
313310,Textile and fabric finishing mills                                                                                           
313320,Fabric coating mills                                                                                                         
314110,Carpet and rug mills                                                                                                         
314120,Curtain and linen mills                                                                                                      
314910,Textile bag and canvas mills                                                                                                 
314990,All other textile product mills                                                                                
315100,Apparel knitting mills
315210,Cut and sew apparel contractors                                                                                              
315220,Men's and boys' cut and sew apparel manufacturing                                                                            
315230,Women's and girls' cut and sew apparel manufacturing                                                                         
315290,Other cut and sew apparel manufacturing                                                                                      
