"SITC, Rev. 3",BEC,Relationship
00111,41,n to 1
00119,111,n to 1
00121,111,n to 1
00122,111,n to 1
00131,41,n to 1
00139,111,n to 1
00141,111,n to 1
00149,111,n to 1
00151,111,n to n
00151,41,n to n
00152,111,n to n
00152,41,n to n
0019,111,n to 1
01111,121,n to n
01111,122,n to n
01112,122,n to 1
01121,121,n to n
01121,122,n to n
01122,122,n to 1
01211,121,n to n
01211,122,n to n
01212,121,n to n
01212,122,n to n
01213,122,n to 1
01221,121,n to n
01221,122,n to n
01222,121,n to n
01222,122,n to n
01231,122,n to 1
01232,122,n to 1
01233,122,n to 1
01234,122,n to 1
01235,122,n to 1
01236,122,n to 1
0124,121,n to 1
01251,122,n to 1
01252,122,n to 1
01253,122,n to 1
01254,122,n to 1
01255,122,n to 1
01256,122,n to 1
01291,122,n to 1
01292,122,n to 1
01293,122,n to 1
01299,122,n to 1
01611,122,n to 1
01612,122,n to 1
01619,122,n to 1
01681,122,n to 1
01689,122,n to 1
0171,121,n to 1
0172,122,n to 1
0173,122,n to 1
0174,122,n to 1
0175,122,n to 1
0176,122,n to 1
0179,122,n to 1
02211,112,n to 1
02212,112,n to 1
02213,112,n to 1
02221,121,n to 1
02222,122,n to 1
02223,122,n to 1
02224,122,n to 1
02231,112,n to 1
02232,112,n to 1
02233,122,n to 1
02241,121,n to 1
02249,121,n to 1
0230,122,n to 1
0241,122,n to 1
0242,122,n to 1
0243,122,n to 1
02491,122,n to 1
02499,122,n to 1
0251,112,n to 1
02521,121,n to 1
02522,121,n to 1
0253,111,n to 1
03411,112,n to n
03411,63,n to n
03412,112,n to 1
03413,112,n to 1
03414,112,n to 1
03415,112,n to 1
03416,112,n to 1
03417,112,n to 1
03418,112,n to 1
03419,122,n to 1
03421,122,n to 1
03422,122,n to 1
03423,122,n to 1
03424,122,n to 1
03425,122,n to 1
03426,122,n to 1
03427,122,n to 1
03428,122,n to 1
03429,122,n to 1
0344,122,n to 1
03451,122,n to 1
03455,122,n to 1
03511,112,n to 1
03512,122,n to 1
03513,112,n to 1
03521,112,n to 1
